connection_id,source_id,target_id,relationship,weight,anomaly_flagged,attack_stage,timestamp,bytes_transferred,protocol,dest_port,session_id,is_breach_path,description
conn_001,node_api_gw,node_host_01,CALLS,0.89,True,3,2024-01-15T08:05:26.365608Z,284520,HTTPS,443,81b68b42-4b89-4d5c-8707-907dd6ea1b18,True,Compromised API gateway initiates lateral call to web-prod-01 using stolen session token.
conn_002,node_host_01,node_container_7,DEPLOYS,0.74,True,4,2024-01-15T08:37:05.250968Z,12048,K8S_API,6443,bf24bbbd-5ecb-4b43-8622-246dc618ff92,True,web-prod-01 deploys unauthorized workload to svc-cluster-7 using overprivileged k8s service account.
conn_003,node_container_7,node_user_svc7,AUTHENTICATES,0.68,True,4,2024-01-15T08:58:45.003518Z,4096,OAuth2,443,a824c88c-de02-4bcb-96ac-1e2d6358d667,True,Container assumes svc_account_7 IAM identity via OIDC token exchange with elevated scope.
conn_004,node_user_svc7,node_db_customer,ACCESSES,0.91,True,5,2024-01-15T09:14:43.392644Z,1073741824,PostgreSQL,5432,cbe91e7f-e5b7-42ca-bdd0-767cd7f7d8db,True,"svc_account_7 executes 47,000 SELECT queries against customer_pii.users table. 1GB data staged."
conn_005,node_user_svc7,node_db_prod01,ACCESSES,0.82,True,5,2024-01-15T09:23:51.282409Z,524288000,PostgreSQL,5432,0672ff46-ebe6-4539-9315-053e5f2518a8,True,Session token scope violation — VendorX API gateway token authenticates against prod-db-01.
conn_006,node_host_02,node_container_7,CONNECTS,0.55,False,0,2024-01-15T07:30:42.407877Z,8192,gRPC,8080,091e91f9-a21d-4692-b9d3-28f8a069d723,False,Normal application connectivity between app-prod-02 and compute cluster.
conn_007,node_role_dbreader,node_db_customer,ACCESSES,0.61,True,5,2024-01-15T09:18:33.687183Z,209715200,PostgreSQL,5432,8616b6f1-6bf6-454c-aade-ddd923a8fbd9,True,db_reader role used via svc_account_7 for elevated READ access across customer tables.
conn_008,node_api_gw,node_host_02,CALLS,0.45,False,0,2024-01-15T06:57:31.297980Z,1048576,HTTPS,8080,ac883bc6-3a1e-4417-8fc0-ca8b367df235,False,Normal API gateway routing to application layer.
conn_009,node_api_paystream,node_host_04,CALLS,0.42,False,2,2024-01-15T07:18:20.630618Z,2097152,HTTPS,443,0acce4ca-8ff5-460d-9f0f-536e887c2ffa,False,PayStream API routing — elevated volume but no confirmed breach.
conn_010,node_host_04,node_db_customer,CONNECTS,0.28,False,0,2024-01-15T07:23:19.151333Z,131072,PostgreSQL,5432,8a1bc30b-3243-49dd-aed4-2f0867743da6,False,Payment proxy → database read queries. Normal operational traffic.
conn_011,node_host_01,node_db_customer,ACCESSES,0.652,True,5,2024-01-15T09:11:07.118744Z,473396720,gRPC,22,7bce1129-1d21-48c5-ab87-9695a2d204a9,True,Telemetry record 11: Automated log from SIEM correlation engine.
conn_012,node_api_gw,node_db_customer,ACCESSES,0.517,False,3,2024-01-15T09:53:31.176825Z,199174280,gRPC,443,de59e5b9-4263-4ee5-a32d-6e7a9e0dbd53,True,Telemetry record 12: Automated log from SIEM correlation engine.
conn_013,node_container_7,node_db_prod01,ACCESSES,0.398,False,4,2024-01-15T08:56:29.476806Z,812900489,PostgreSQL,22,fad69fe9-b5cc-4446-a548-b3053ce634c7,True,Telemetry record 13: Automated log from SIEM correlation engine.
conn_014,node_container_7,node_host_02,CALLS,0.728,False,3,2024-01-15T09:29:41.113937Z,1836784915,HTTPS,443,f8b5436b-fe87-4409-bc98-9d5bdee56d2f,True,Telemetry record 14: Automated log from SIEM correlation engine.
conn_015,node_user_svc7,node_db_prod01,CONNECTS,0.677,False,4,2024-01-15T08:30:14.905413Z,1507151743,PostgreSQL,5432,9145ca73-4ffd-4c8f-8faf-5be8e13c94bd,True,Telemetry record 15: Automated log from SIEM correlation engine.
conn_016,node_host_01,node_db_customer,CONNECTS,0.485,True,5,2024-01-15T09:15:30.091182Z,696395967,PostgreSQL,5432,65c2f38d-ea2d-416c-9a7b-325da20a4dc4,True,Telemetry record 16: Automated log from SIEM correlation engine.
conn_017,node_api_gw,node_db_prod01,CONNECTS,0.401,False,5,2024-01-15T09:42:08.130081Z,1407547914,gRPC,8080,e9432d9d-41d6-4014-8da7-5cefb6b87fbc,True,Telemetry record 17: Automated log from SIEM correlation engine.
conn_018,node_user_svc7,node_db_customer,CONNECTS,0.305,True,5,2024-01-15T08:17:02.254990Z,1928064058,gRPC,22,4c3dc217-a8bb-4fbb-be0f-ef5ab1996fce,True,Telemetry record 18: Automated log from SIEM correlation engine.
conn_019,node_host_01,node_db_customer,ACCESSES,0.57,True,3,2024-01-15T08:00:22.663843Z,1461326378,gRPC,443,4c3adacc-fbee-40e7-a919-d7a02c526a5b,True,Telemetry record 19: Automated log from SIEM correlation engine.
conn_020,node_user_svc7,node_db_prod01,ACCESSES,0.947,True,5,2024-01-15T09:39:02.616083Z,1547742428,PostgreSQL,22,f704d99b-a5a6-40fb-8680-26eb8b87a8da,True,Telemetry record 20: Automated log from SIEM correlation engine.
conn_021,node_container_7,node_db_customer,CONNECTS,0.526,True,5,2024-01-15T09:41:54.574728Z,1075004591,HTTPS,443,39380dab-e33a-4868-8df3-efc1b1316483,True,Telemetry record 21: Automated log from SIEM correlation engine.
conn_022,node_container_7,node_host_02,ACCESSES,0.657,False,3,2024-01-15T08:56:20.936619Z,1138929935,PostgreSQL,22,a19e2cd4-8e1a-46c4-993f-3a275541605c,True,Telemetry record 22: Automated log from SIEM correlation engine.
conn_023,node_user_svc7,node_db_customer,CALLS,0.897,True,4,2024-01-15T08:12:44.756294Z,1218393841,PostgreSQL,443,32dc529a-2aca-4c3b-9ab4-e9ad0f25bb7d,True,Telemetry record 23: Automated log from SIEM correlation engine.
conn_024,node_user_svc7,node_db_customer,ACCESSES,0.774,False,4,2024-01-15T09:51:33.251763Z,1133174913,gRPC,5432,c8d02e94-61a7-4a30-8fab-0f2879b94671,True,Telemetry record 24: Automated log from SIEM correlation engine.
conn_025,node_host_01,node_host_02,CONNECTS,0.499,True,4,2024-01-15T08:41:23.204356Z,259858635,HTTPS,5432,d1cf5300-1b27-44b4-9da7-9e60cc4be365,True,Telemetry record 25: Automated log from SIEM correlation engine.
conn_026,node_api_gw,node_db_prod01,CALLS,0.641,False,3,2024-01-15T07:41:37.814417Z,126434544,HTTPS,443,a69c6425-6940-451e-ac4a-412343fbc557,True,Telemetry record 26: Automated log from SIEM correlation engine.
conn_027,node_api_gw,node_db_prod01,CALLS,0.586,False,4,2024-01-15T08:08:53.405315Z,2009005627,gRPC,5432,c7f8764a-3710-41db-b188-e799956d0e0b,True,Telemetry record 27: Automated log from SIEM correlation engine.
conn_028,node_user_svc7,node_db_prod01,CALLS,0.271,True,4,2024-01-15T08:39:12.124873Z,1565682573,PostgreSQL,443,af75fe9a-1279-4e24-aec6-6a5ac05c0f44,True,Telemetry record 28: Automated log from SIEM correlation engine.
conn_029,node_api_gw,node_db_prod01,ACCESSES,0.454,True,3,2024-01-15T08:06:55.888042Z,301043290,gRPC,5432,d9cb9510-700c-4986-bbae-7fd1b7f0f875,True,Telemetry record 29: Automated log from SIEM correlation engine.
conn_030,node_container_7,node_db_prod01,CALLS,0.856,False,5,2024-01-15T07:54:09.819398Z,1160907840,PostgreSQL,443,21990c0c-3318-4582-a32d-46962a797a40,True,Telemetry record 30: Automated log from SIEM correlation engine.
conn_031,node_host_01,node_db_customer,CONNECTS,0.564,False,4,2024-01-15T09:45:20.154752Z,4632723,gRPC,22,f39b74d5-b2da-4d23-ab91-a3efc5bd64d3,True,Telemetry record 31: Automated log from SIEM correlation engine.
conn_032,node_user_svc7,node_db_prod01,CONNECTS,0.722,True,5,2024-01-15T09:12:37.319874Z,407806662,SSH,5432,ed44ee61-7983-4893-b7db-90ff24e4b358,True,Telemetry record 32: Automated log from SIEM correlation engine.
conn_033,node_api_gw,node_host_02,ACCESSES,0.607,True,3,2024-01-15T07:46:57.017566Z,1974372915,HTTPS,443,cc6f41e4-dd46-4620-b0f6-3ffcb868bd1b,True,Telemetry record 33: Automated log from SIEM correlation engine.
conn_034,node_api_gw,node_db_customer,CALLS,0.646,True,3,2024-01-15T08:37:51.201934Z,1223372732,HTTPS,443,28c52072-9f27-4c0e-810a-8c0e32a49ee4,True,Telemetry record 34: Automated log from SIEM correlation engine.
conn_035,node_api_gw,node_db_prod01,ACCESSES,0.638,True,4,2024-01-15T08:09:14.691799Z,512578286,SSH,8080,16337d8e-28b4-4a75-975f-8428814c76a4,True,Telemetry record 35: Automated log from SIEM correlation engine.
conn_036,node_host_01,node_host_02,ACCESSES,0.425,False,3,2024-01-15T07:41:40.058504Z,1209023730,PostgreSQL,443,8365fa3a-fd87-4c1b-9fb2-e6d49f93e017,True,Telemetry record 36: Automated log from SIEM correlation engine.
conn_037,node_host_01,node_host_02,CONNECTS,0.299,False,3,2024-01-15T09:42:42.384913Z,338762844,gRPC,22,19a9d55b-c6e1-4d02-ae1c-c79522f12268,True,Telemetry record 37: Automated log from SIEM correlation engine.
conn_038,node_api_gw,node_host_02,ACCESSES,0.425,True,3,2024-01-15T08:18:11.662027Z,1594331789,HTTPS,22,682463e7-ac69-4afb-b3ce-3576715f21cf,True,Telemetry record 38: Automated log from SIEM correlation engine.
conn_039,node_container_7,node_host_02,CALLS,0.738,False,5,2024-01-15T09:39:25.441279Z,539282872,PostgreSQL,443,6ceb7303-2745-4c5e-8493-7405cdbe5c24,True,Telemetry record 39: Automated log from SIEM correlation engine.
conn_040,node_user_svc7,node_db_prod01,CALLS,0.203,True,5,2024-01-15T09:56:09.387568Z,948838628,gRPC,443,767f47e0-3100-4f64-bc60-f3e0a43a1139,True,Telemetry record 40: Automated log from SIEM correlation engine.
conn_041,node_api_gw,node_db_customer,ACCESSES,0.878,True,4,2024-01-15T09:00:29.737240Z,273691265,PostgreSQL,22,17092a6a-f8d5-4a5e-8cdb-489d1715ce60,True,Telemetry record 41: Automated log from SIEM correlation engine.
conn_042,node_container_7,node_db_customer,CONNECTS,0.358,False,3,2024-01-15T08:29:41.679564Z,1878435361,gRPC,5432,3d42ea1d-58e0-4ee1-867f-cf08578e94cc,True,Telemetry record 42: Automated log from SIEM correlation engine.
conn_043,node_host_01,node_db_customer,CALLS,0.861,False,5,2024-01-15T09:50:16.522849Z,884151381,HTTPS,22,3bc2018e-cef3-40bd-8d8c-1d60e6130e10,True,Telemetry record 43: Automated log from SIEM correlation engine.
conn_044,node_host_01,node_host_02,CALLS,0.487,False,4,2024-01-15T08:12:05.428816Z,988497770,SSH,22,311b9d48-0db2-4124-a18b-c707f82d6613,True,Telemetry record 44: Automated log from SIEM correlation engine.
conn_045,node_host_01,node_db_customer,CALLS,0.695,False,4,2024-01-15T09:42:24.604752Z,599420460,SSH,8080,c7e48a8f-987a-4419-aaf8-8681c04a2602,True,Telemetry record 45: Automated log from SIEM correlation engine.
conn_046,node_container_7,node_db_customer,CALLS,0.858,False,5,2024-01-15T09:54:03.072197Z,232796798,gRPC,22,cfc01e59-b520-4032-b61f-af0816c4b44f,True,Telemetry record 46: Automated log from SIEM correlation engine.
conn_047,node_container_7,node_db_prod01,ACCESSES,0.938,False,5,2024-01-15T08:05:14.651282Z,936430490,PostgreSQL,5432,5fbe03a0-a780-4cb1-8be2-e20673978eda,True,Telemetry record 47: Automated log from SIEM correlation engine.
conn_048,node_container_7,node_db_prod01,CALLS,0.912,True,5,2024-01-15T08:24:59.534168Z,1545664592,SSH,22,601137d3-00aa-4e19-bf6b-526c88c40b4f,True,Telemetry record 48: Automated log from SIEM correlation engine.
conn_049,node_user_svc7,node_db_prod01,CONNECTS,0.723,True,3,2024-01-15T08:40:11.014665Z,1454533302,HTTPS,22,14baf40b-4282-460c-886d-242490c1ddab,True,Telemetry record 49: Automated log from SIEM correlation engine.
conn_050,node_user_svc7,node_host_02,CALLS,0.428,False,5,2024-01-15T09:04:23.962053Z,948732338,gRPC,5432,136fd236-1bef-401b-90c5-d5d16209e73d,True,Telemetry record 50: Automated log from SIEM correlation engine.
